ds_sigla	no_titulo	no_estrato
SOCINFO	International Conference on Social Informatics	B1
SOCS	International Symposium on Combinatorial Search	B1
SOFSEM	International Conference on Current Trends in Theory and Practice of Computer Science	B1
SOFTCOM	International Conference on Software, Telecommunications and Computer Networks	B1
SOSE	IEEE International Symposium on Service-Oriented System Engineering	B1
SPIRE	International Symposium on String Processing and Information Retrieval	B1
SRDS	IEEE Symposium on Reliable Distributed Systems	B1
SSBSE	International Symposium on Search Based Software Engineering	B1
SSDBM	International Conference on Scientific and Statistical Database Management	B1
SSTD	International Symposium on Spatial and Temporal Databases	B1
SUM	International Conference on Scalable Uncertainty Management	B1
SYSCON	IEEE International Systems Conference	B1
TPDL	International Conference on Theory and Practice of Digital Libraries	B1
TSD	International Conference on Text, Speech and Dialogue	B1
UKSIM	International Conference on Computer Modelling and Simulation	B1
VCIP	IEEE International Conference on Visual Communications and Image Processing	B1
